Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",29/07/93,895421,1935
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",04/04/18,1408198,1969
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",01/06/94,789019,1975
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",04/03/57,68505,1928 (2011)
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",23/02/04,36270,1856
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",20/09/21,891103,1986
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",06/09/16,1037646,1945
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",27/09/94,723125,1978
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",13/10/17,1513761,2011 (1966)
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",22/10/08,1120193,1971
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",15/02/22,72331,1935
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",30/06/76,753308,1984 (1925)
NEM,Newmont,Materials,Gold,"Denver, Colorado",30/06/69,1164727,1921
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",20/12/10,1065280,1997
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",02/11/00,1111711,1912
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",30/11/88,320187,1964
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",04/03/57,1133421,"1994 (Northrop 1939, Grumman 1930)"
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",21/11/19,1373715,2003
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",29/01/10,1013871,1992
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,"Atlanta, Georgia",04/03/57,702165,1881/1894 (1980)
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",25/06/99,1002047,1992
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",30/01/98,73124,1889
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",30/04/85,73309,1940
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",30/11/01,1045810,1993
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",26/09/19,906163,1980
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",18/09/15,1564708,2013 (News Corporation 1980)
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",01/08/13,1564708,2013 (News Corporation 1980)
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",22/03/21,1413447,1953
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",07/04/15,726728,1969
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",09/12/19,878927,1934
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",15/03/10,1039684,1906
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",31/12/97,29989,1986
ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",21/06/22,1097864,1999
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",31/08/89,1341439,1977
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",27/03/09,898173,1957
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",03/04/20,1781335,"2020 (1853, United Technologies spinoff)"
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",04/03/57,797468,1920
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",20/06/23,1327567,2005
PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",30/09/94,813828,2019 (Paramount Pictures 1912)
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",28/01/20,1590955,1998
PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",01/10/98,723531,1971
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",31/12/80,75362,1905
PCG,PG&E Corporation,Utilities,Multi-Utilities,"Oakland, California",03/10/22,1004980,1905
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",04/03/57,788784,1903
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",04/03/57,77476,1898
PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",04/03/57,78003,1849
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",22/07/02,1126328,1879
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",04/03/57,80424,1837
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",04/08/97,80661,1937
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",30/11/85,76334,1917
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",30/04/84,822416,1956
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",26/07/17,75677,1959
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",17/07/03,1045609,1983
PLTR,Palantir Technologies,Information Technology,Internet Services & Infrastructure,"Denver, Colorado",23/09/24,1321655,2003
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",31/03/08,1413329,2008 (1847)
PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",30/04/88,713676,1845
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",01/10/12,77360,1966
PNW,Pinnacle West,Utilities,Multi-Utilities,"Phoenix, Arizona",04/10/99,764622,1985
PODD,Insulet Corporation,Health Care,Health Care Equipment,"Acton, Massachusetts",15/03/23,1145197,2000
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",07/10/20,945841,1993
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",04/03/57,79879,1883
PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",01/10/01,922224,1920
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",22/07/02,1137774,1875
PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",19/08/05,1393311,1972
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",01/05/12,1534701,2012 (1917)
PTC,PTC Inc.,Information Technology,Application Software,"Boston, Massachusetts",20/04/21,857005,1985
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",01/07/09,1050915,1997
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",20/07/15,1633917,1998
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",22/07/99,804328,1985
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",11/06/15,1604778,2015
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",05/12/14,884887,1997
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",02/03/17,910606,1963
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",01/05/13,872589,1988
RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",28/08/98,1281761,1971
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",20/03/17,720005,1962
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",02/02/07,1037038,1967
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",26/07/17,943819,1989
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",12/03/00,1024478,1903
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",01/10/18,84839,1948
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",23/12/09,882835,1981
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",21/12/09,745732,1982
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",05/12/08,1060391,1998 (1981)
RTX,RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts",04/03/57,101829,1922
RVTY,Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts",31/05/85,31791,1937
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",01/09/17,1034054,1989
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",07/06/00,829224,1971
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",02/06/97,316709,1971
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",30/06/64,89800,1866
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",06/11/08,91419,1897
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",04/03/57,87347,1926
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",18/03/24,1375365,1993
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",30/09/82,91440,1920
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",16/03/17,883241,1986
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",04/03/57,92122,1945
SOLV,Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota",01/04/24,1964738,2023
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",26/06/02,1063761,2003
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",04/03/57,64040,1917
SRE,Sempra,Utilities,Multi-Utilities,"San Diego, California",17/03/17,1032208,1998
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",23/12/19,1757898,1985
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",22/12/22,1022671,1993
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",14/03/03,93751,1792
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",02/07/12,1137789,1979
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",01/07/05,16918,1945
SW,Smurfit WestRock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",08/07/24,2005951,1934
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",30/09/82,93556,1843
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",12/03/15,4127,2002
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",18/11/15,1601712,2003
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/00,310764,1941
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",31/12/86,96021,1969
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",30/11/83,732717,1983 (1885)
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",30/06/76,24545,"2005 (Molson 1786, Coors 1873)"
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",03/06/16,1260221,1993
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",22/06/20,1094285,1960
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",30/08/21,842023,1976
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Galway, Ireland",17/10/11,1385157,2007
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",21/09/20,97210,1960
TFC,Truist Financial,Financials,Diversified Banks,"Charlotte, North Carolina",04/12/97,92230,1872
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",18/01/19,96943,1943
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",31/12/76,27419,1902
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",30/09/85,109198,1987
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",03/08/04,97745,2006 (1902)
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",15/07/19,1283699,1994
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",01/09/04,1116132,2017
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",12/10/22,1389170,2005
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",21/01/21,864749,1978
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",29/07/19,1113169,1937
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",21/08/02,86312,1853
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",24/01/14,916365,1938
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",21/12/20,1318605,2003
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",10/08/05,100493,1935
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",17/11/10,1466258,1871
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",19/03/18,946581,1993
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",12/03/01,97476,1930
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",31/12/78,217346,1923
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",22/06/20,860731,1966
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",03/09/15,100517,1967
UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",18/12/23,1543151,2009
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",07/03/16,74208,1972
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",20/09/14,352915,1979
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",18/04/16,1403568,1990
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",01/07/94,731766,1977
UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",04/03/57,100885,1862
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",22/07/02,1090727,1907
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",20/09/14,1067701,1997
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",01/11/99,36104,1968
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",21/12/09,1403161,1958
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",08/06/22,1705696,2017
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",20/12/02,1035002,1980
VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",02/10/23,1967680,2023
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",30/06/99,1396009,1909
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",08/10/15,1442145,1971
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",01/02/06,1014473,1995
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",23/09/13,875320,1989
VST,Vistra Corp.,Utilities,Electric Utilities,"Irving, Texas",08/05/24,1692819,2016
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",04/03/09,740260,1998
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",23/04/04,1792044,1961
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",30/11/83,732712,1983 (1877)
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",27/02/19,943452,1999 (1869)
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",02/01/02,1000697,1958
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",31/12/79,1618921,2014
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",11/04/22,1437107,2022 (Warner Bros. 1923)
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",01/07/09,106040,1970
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",31/10/08,783325,1896
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",30/01/09,766704,1970
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",30/06/76,72971,1852
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",31/08/98,823768,1968
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",31/03/75,107263,1908
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",31/08/82,104169,1962
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",05/12/19,11544,1967
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",22/05/20,105770,1923
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",05/01/16,1140536,2016
WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",01/10/79,106535,1900
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",14/11/08,1174922,2002
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",04/03/57,72903,1909
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",04/03/57,34088,1999
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",01/11/11,1524472,2011
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",06/10/97,1041061,1997
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",07/08/01,1136869,1927
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",23/12/19,877212,1969
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",21/06/13,1555280,1952
